nombre,siglas,codigo_iso,grupo
México,MEX,mx,A
Sudáfrica,RSA,za,A
República de Corea,KOR,kr,A
Chequia,CZE,cz,A
Canadá,CAN,ca,B
Bosnia y Herzegovina,BIH,ba,B
Catar,QAT,qa,B
Suiza,SUI,ch,B
Brasil,BRA,br,C
Marruecos,MAR,ma,C
Haití,HAI,ht,C
Escocia,SCO,gb-sct,C
EE. UU.,USA,us,D
Paraguay,PAR,py,D
Australia,AUS,au,D
Turquía,TUR,tr,D
Alemania,GER,de,E
Curazao,CUW,cw,E
Costa de Marfil,CIV,ci,E
Ecuador,ECU,ec,E
Países Bajos,NED,nl,F
Japón,JPN,jp,F
Suecia,SWE,se,F
Túnez,TUN,tn,F
Bélgica,BEL,be,G
Egipto,EGY,eg,G
RI de Irán,IRN,ir,G
Nueva Zelanda,NZL,nz,G
España,ESP,es,H
Islas de Cabo Verde,CPV,cv,H
Arabia Saudí,KSA,sa,H
Uruguay,URU,uy,H
Francia,FRA,fr,I
Senegal,SEN,sn,I
Irak,IRQ,iq,I
Noruega,NOR,no,I
Argentina,ARG,ar,J
Argelia,ALG,dz,J
Austria,AUT,at,J
Jordania,JOR,jo,J
Portugal,POR,pt,K
RD Congo,COD,cd,K
Uzbekistán,UZB,uz,K
Colombia,COL,co,K
Inglaterra,ENG,gb-eng,L
Croacia,CRO,hr,L
Ghana,GHA,gh,L
Panamá,PAN,pa,L
