equipo_local_id,equipo_visitante_id,fecha_hora,fase,estado
mx,za,2026-06-11T15:00:00-06:00,Fase de Grupos,Pendiente
kr,cz,2026-06-11T22:00:00-06:00,Fase de Grupos,Pendiente
cz,za,2026-06-18T12:00:00-06:00,Fase de Grupos,Pendiente
mx,kr,2026-06-18T21:00:00-06:00,Fase de Grupos,Pendiente
cz,mx,2026-06-24T21:00:00-06:00,Fase de Grupos,Pendiente
za,kr,2026-06-24T21:00:00-06:00,Fase de Grupos,Pendiente
ca,ba,2026-06-12T15:00:00-06:00,Fase de Grupos,Pendiente
qa,ch,2026-06-13T15:00:00-06:00,Fase de Grupos,Pendiente
ch,ba,2026-06-18T15:00:00-06:00,Fase de Grupos,Pendiente
ca,qa,2026-06-18T18:00:00-06:00,Fase de Grupos,Pendiente
ch,ca,2026-06-24T15:00:00-06:00,Fase de Grupos,Pendiente
ba,qa,2026-06-24T15:00:00-06:00,Fase de Grupos,Pendiente
br,ma,2026-06-13T18:00:00-06:00,Fase de Grupos,Pendiente
ht,gb-sct,2026-06-13T21:00:00-06:00,Fase de Grupos,Pendiente
gb-sct,ma,2026-06-19T18:00:00-06:00,Fase de Grupos,Pendiente
br,ht,2026-06-19T21:00:00-06:00,Fase de Grupos,Pendiente
br,gb-sct,2026-06-24T18:00:00-06:00,Fase de Grupos,Pendiente
ma,ht,2026-06-24T18:00:00-06:00,Fase de Grupos,Pendiente
us,py,2026-06-12T21:00:00-06:00,Fase de Grupos,Pendiente
au,tr,2026-06-13T00:00:00-06:00,Fase de Grupos,Pendiente
us,au,2026-06-19T15:00:00-06:00,Fase de Grupos,Pendiente
tr,py,2026-06-19T00:00:00-06:00,Fase de Grupos,Pendiente
tr,us,2026-06-25T22:00:00-06:00,Fase de Grupos,Pendiente
py,au,2026-06-25T22:00:00-06:00,Fase de Grupos,Pendiente
de,cw,2026-06-14T13:00:00-06:00,Fase de Grupos,Pendiente
ci,ec,2026-06-14T19:00:00-06:00,Fase de Grupos,Pendiente
de,ci,2026-06-20T16:00:00-06:00,Fase de Grupos,Pendiente
ec,cw,2026-06-20T22:00:00-06:00,Fase de Grupos,Pendiente
cw,ci,2026-06-25T16:00:00-06:00,Fase de Grupos,Pendiente
ec,de,2026-06-25T16:00:00-06:00,Fase de Grupos,Pendiente
nl,jp,2026-06-14T16:00:00-06:00,Fase de Grupos,Pendiente
se,tn,2026-06-14T22:00:00-06:00,Fase de Grupos,Pendiente
nl,se,2026-06-20T13:00:00-06:00,Fase de Grupos,Pendiente
tn,jp,2026-06-20T00:00:00-06:00,Fase de Grupos,Pendiente
jp,se,2026-06-25T19:00:00-06:00,Fase de Grupos,Pendiente
tn,nl,2026-06-25T19:00:00-06:00,Fase de Grupos,Pendiente
be,eg,2026-06-15T15:00:00-06:00,Fase de Grupos,Pendiente
ir,nz,2026-06-15T21:00:00-06:00,Fase de Grupos,Pendiente
be,ir,2026-06-21T15:00:00-06:00,Fase de Grupos,Pendiente
nz,eg,2026-06-21T21:00:00-06:00,Fase de Grupos,Pendiente
eg,ir,2026-06-26T23:00:00-06:00,Fase de Grupos,Pendiente
nz,be,2026-06-26T23:00:00-06:00,Fase de Grupos,Pendiente
es,cv,2026-06-15T12:00:00-06:00,Fase de Grupos,Pendiente
sa,uy,2026-06-15T18:00:00-06:00,Fase de Grupos,Pendiente
es,sa,2026-06-21T12:00:00-06:00,Fase de Grupos,Pendiente
uy,cv,2026-06-21T18:00:00-06:00,Fase de Grupos,Pendiente
cv,sa,2026-06-26T20:00:00-06:00,Fase de Grupos,Pendiente
uy,es,2026-06-26T20:00:00-06:00,Fase de Grupos,Pendiente
fr,sn,2026-06-16T15:00:00-06:00,Fase de Grupos,Pendiente
iq,no,2026-06-16T18:00:00-06:00,Fase de Grupos,Pendiente
fr,iq,2026-06-22T17:00:00-06:00,Fase de Grupos,Pendiente
no,sn,2026-06-22T20:00:00-06:00,Fase de Grupos,Pendiente
no,fr,2026-06-26T15:00:00-06:00,Fase de Grupos,Pendiente
sn,iq,2026-06-26T15:00:00-06:00,Fase de Grupos,Pendiente
ar,dz,2026-06-16T21:00:00-06:00,Fase de Grupos,Pendiente
at,jo,2026-06-16T00:00:00-06:00,Fase de Grupos,Pendiente
ar,at,2026-06-22T13:00:00-06:00,Fase de Grupos,Pendiente
jo,dz,2026-06-22T23:00:00-06:00,Fase de Grupos,Pendiente
dz,at,2026-06-27T22:00:00-06:00,Fase de Grupos,Pendiente
jo,ar,2026-06-27T22:00:00-06:00,Fase de Grupos,Pendiente
pt,cd,2026-06-17T13:00:00-06:00,Fase de Grupos,Pendiente
uz,co,2026-06-17T22:00:00-06:00,Fase de Grupos,Pendiente
pt,uz,2026-06-23T13:00:00-06:00,Fase de Grupos,Pendiente
co,cd,2026-06-23T22:00:00-06:00,Fase de Grupos,Pendiente
co,pt,2026-06-27T19:30:00-06:00,Fase de Grupos,Pendiente
cd,uz,2026-06-27T19:30:00-06:00,Fase de Grupos,Pendiente
gb-eng,hr,2026-06-17T16:00:00-06:00,Fase de Grupos,Pendiente
gh,pa,2026-06-17T19:00:00-06:00,Fase de Grupos,Pendiente
gb-eng,gh,2026-06-23T16:00:00-06:00,Fase de Grupos,Pendiente
pa,hr,2026-06-23T19:00:00-06:00,Fase de Grupos,Pendiente
pa,gb-eng,2026-06-27T17:00:00-06:00,Fase de Grupos,Pendiente
hr,gh,2026-06-27T17:00:00-06:00,Fase de Grupos,Pendiente
